"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"26269971","01/13/2007","01:50:00","QUEENS","OUTSIDE","107","0","STREET","MULTI DWELL - APT BUILD","1051246","203301","-73.75829461","40.72444551"
"26269974","01/13/2007","13:34:00","BROOKLYN","INSIDE","81","0","COMMERCIAL","RESTAURANT/DINER","1003552","190547","-73.93040047","40.68967144"
"26302596","01/12/2007","10:10:00","BROOKLYN","OUTSIDE","67","0","STREET",,"1006134","179536","-73.92112581","40.65944272"
"26430180","01/20/2007","00:23:00","BRONX","INSIDE","49","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1024465","256401","-73.85459634","40.87035265"
"26805788","02/10/2007","22:48:00","BROOKLYN","OUTSIDE","75","0","DWELLING","PVT HOUSE","1014993","181458","-73.88918693","40.66469186"
"26884361","02/14/2007","23:40:00","BROOKLYN","INSIDE","83","0","DWELLING",,"1007288","190656","-73.91692848","40.68996168"
"26929480","02/18/2007","02:39:00","BROOKLYN","INSIDE","81","0","COMMERCIAL","BAR/NIGHT CLUB","1004413","191572","-73.92729273","40.69248291"
"27008268","02/22/2007","22:10:00","MANHATTAN","OUTSIDE","30","0","STREET",,"998031","240493","-73.95020624","40.82677073"
"27126162","02/28/2007","16:36:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1006718","233117","-73.918842","40.80650786"
"212640536","05/03/2020","16:05:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1002252","247207","-73.93493638","40.84519113"
"27432646","03/16/2007","23:49:00","QUEENS","INSIDE","108","0","DWELLING","MULTI DWELL - APT BUILD","1007692","210861","-73.91540134","40.74541848"
"28234043","04/02/2007","06:46:00","BROOKLYN","OUTSIDE","83","0","STREET",,"1010165","192337","-73.90654782","40.69456768"
"28268451","04/04/2007","03:05:00","BRONX","OUTSIDE","48","0","STREET",,"1015132","247522","-73.88838247","40.84602006"
"28609129","04/20/2007","12:11:00","BROOKLYN","INSIDE","73","0","DWELLING","MULTI DWELL - APT BUILD","1007604","188021","-73.91579815","40.68272838"
"28772260","04/30/2007","20:21:00","STATEN ISLAND","OUTSIDE","122","2","HOUSING","MULTI DWELL - PUBLIC HOUS","950640","160663","-74.1210466","40.60760363"
"28772262","05/01/2007","01:00:00","BROOKLYN","OUTSIDE","62","0","STREET",,"982903","158074","-74.0048521","40.60056099"
"28848171","05/05/2007","22:30:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999508","235734","-73.94488018","40.81370619"
"28892743","05/07/2007","16:52:00","BROOKLYN","OUTSIDE","73","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1007627","183444","-73.9157311","40.67016549"
"28907942","05/08/2007","21:18:00","BROOKLYN","OUTSIDE","81","0","STREET",,"1006812","186282","-73.91865954","40.67795728"
"28926743","05/08/2007","21:38:00","MANHATTAN","INSIDE","34","0","DWELLING","MULTI DWELL - APT BUILD","1006604","254113","-73.91918383","40.86413609"
"29013342","05/12/2007","19:26:00","BRONX","OUTSIDE","47","0","STREET",,"1022722","262502","-73.86086345","40.88710575"
"29024303","05/14/2007","16:59:00","BRONX","OUTSIDE","40","0","STREET",,"1009804","235986","-73.90768376","40.81437408"
"29040548","05/14/2007","18:48:00","BRONX","OUTSIDE","48","0","STREET",,"1017595","246009","-73.87948781","40.84185836"
"29040550","05/15/2007","13:21:00","BROOKLYN","OUTSIDE","81","0","STREET",,"1004379","186454","-73.92743062","40.67843525"
"29059032","05/15/2007","19:30:00","BROOKLYN","OUTSIDE","83","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1007052","193757","-73.91776898","40.69847382"
"29059039","05/16/2007","02:39:00","BRONX","OUTSIDE","46","0","STREET",,"1009499","252082","-73.90872503","40.8585538"
"29114165","05/19/2007","02:35:00","BRONX","OUTSIDE","41","0","STREET",,"1011730","236862","-73.90072222","40.81677267"
"29114166","05/19/2007","23:45:00","BROOKLYN","OUTSIDE","83","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1006820","191770","-73.91861232","40.69302056"
"29174606","05/22/2007","17:18:00","BROOKLYN","INSIDE","77","0","DWELLING","MULTI DWELL - APT BUILD","997643","184003","-73.9517207","40.67172056"
"29246081","05/26/2007","01:50:00","BRONX","OUTSIDE","43","0","STREET","MULTI DWELL - APT BUILD","1021182","244762","-73.86653076","40.83842144"
"29277330","05/26/2007","04:57:00","BROOKLYN","OUTSIDE","81","0","STREET",,"1002113","186617","-73.93559977","40.67888751"
"29338474","05/31/2007","12:53:00","QUEENS","OUTSIDE","113","0","STREET","MULTI DWELL - APT BUILD","1049728","189530","-73.76390509","40.68665886"
"29388843","06/03/2007","21:34:00","BRONX","OUTSIDE","50","0","STREET",,"1010628","263243","-73.9045997","40.889184"
"32155734","06/11/2007","03:14:00","BRONX","OUTSIDE","42","0","STREET",,"1009728","239252","-73.90794593","40.82333855"
"32155740","06/09/2007","05:00:00","BROOKLYN","OUTSIDE","83","0","STREET",,"1006191","196576","-73.92086488","40.70621349"
"32272870","06/15/2007","02:56:00","QUEENS","OUTSIDE","106","0","STREET",,"1028088","176204","-73.84201966","40.65021565"
"32527921","06/19/2007","01:37:00","BRONX","OUTSIDE","46","0","STREET",,"1007997","247788","-73.91417004","40.84677222"
"32564595","06/20/2007","22:42:00","BRONX","OUTSIDE","48","0","STREET",,"1015269","247736","-73.88788632","40.84660694"
"32564596","06/20/2007","18:00:00","BROOKLYN","OUTSIDE","69","0","STREET",,"1011771","171696","-73.90084059","40.6379079"
"32672563","06/22/2007","13:57:00","BRONX","OUTSIDE","52","0","STREET",,"1009868","253125","-73.90738709","40.86141546"
"32672564","06/23/2007","00:13:00","BROOKLYN","OUTSIDE","67","0","STREET",,"1007212","178266","-73.91724474","40.65595412"
"32690337","06/23/2007","02:15:00","BRONX","INSIDE","42","0","DWELLING","MULTI DWELL - APT BUILD","1013251","243004","-73.89520063","40.83362585"
"32723802","06/22/2007","18:09:00","MANHATTAN","OUTSIDE","25","0","PLAYGROUND",,"1000558","231080","-73.94109824","40.80093037"
"32768841","06/27/2007","00:53:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001354","234575","-73.93821425","40.81052168"
"32768842","06/27/2007","00:35:00","QUEENS","OUTSIDE","100","0","STREET","MULTI DWELL - APT BUILD","1034100","152844","-73.82052636","40.58606562"
"32786997","06/28/2007","10:40:00","BRONX","OUTSIDE","42","0","STREET",,"1011925","242048","-73.89999633","40.83100616"
"32821779","06/30/2007","03:18:00","BRONX","OUTSIDE","44","0","STREET",,"1008053","241673","-73.91398934","40.82998817"
"32852896","07/01/2007","14:40:00","STATEN ISLAND","OUTSIDE","120","0","STREET",,"951695","170639","-74.11729517","40.63498959"
"32878660","07/03/2007","04:05:00","BROOKLYN","OUTSIDE","69","0","STREET","MULTI DWELL - APT BUILD","1014334","173363","-73.89159843","40.64247512"
"32914996","07/04/2007","23:39:00","QUEENS","OUTSIDE","113","0","STREET",,"1043900","191838","-73.7848988","40.69303497"
"32949482","07/06/2007","18:54:00","BRONX","OUTSIDE","40","0","STREET","PVT HOUSE","1010949","237365","-73.90354179","40.81815566"
"33047080","07/11/2007","23:28:00","BROOKLYN","OUTSIDE","67","0","STREET",,"1006501","177499","-73.91980976","40.65385069"
"33047083","07/12/2007","14:47:00","BRONX","INSIDE","45","0","DWELLING","MULTI DWELL - APT BUILD","1029433","244768","-73.83671202","40.83839955"
"33063847","07/12/2007","18:31:00","BROOKLYN","OUTSIDE","60","0","STREET",,"985896","148507","-73.99407639","40.57430143"
"33074915","07/14/2007","04:03:00","BROOKLYN","OUTSIDE","88","0","STREET",,"995266","190743","-73.96027859","40.6902236"
"33136531","07/16/2007","18:49:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001167","229824","-73.93890175","40.79748185"
"33136950","07/17/2007","15:00:00","BROOKLYN","INSIDE","77","0","COMMERCIAL","GROCERY/BODEGA","1003529","185360","-73.93049824","40.67543436"
"33175434","07/19/2007","01:53:00","BROOKLYN","INSIDE","60","0","DWELLING",,"990784","149362","-73.9764804","40.57664598"
"33227818","07/22/2007","17:07:00","BRONX","OUTSIDE","44","0","STREET",,"1010025","246298","-73.90684575","40.84267692"
"33376717","07/26/2007","09:11:00","QUEENS","OUTSIDE","105","0","STREET","MULTI DWELL - APT BUILD","1057583","201406","-73.73545288","40.71919396"
"212400207","04/25/2020","00:55:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001244","237937","-73.9386031","40.81974964"
"139565164","11/07/2014","19:44:00","MANHATTAN","OUTSIDE","28","0","STREET",,"998249","231602","-73.94943708","40.80236708"
"139565486","11/07/2014","20:52:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989298","202384","-73.98179001","40.72218082"
"139565488","11/08/2014","08:13:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1000808","242727","-73.94016653","40.83289765"
"139575074","11/09/2014","06:43:00","BRONX","OUTSIDE","44","0","STREET",,"1008412","241520","-73.91269264","40.82956726"
"182931019","05/21/2018","00:30:00","BRONX","INSIDE","43","0","DWELLING","MULTI DWELL - APT BUILD","1022816","238673","-73.86066057","40.82170191"
"212558134","04/30/2020","23:36:00","QUEENS","OUTSIDE","101","0","STREET","GROCERY/BODEGA","1044121","155673","-73.7844228","40.59376862"
